Year	Province	Immigrant Stock	Prediction step I	MI 3 selection	MI 5 selection
2012	Centro	8395	9172.920236850474	8950.601151976993	9269.158335682934
2012	Isole	308	348.74605742833455	347.8842787865721	344.6363503929283
2012	Nord-est	4652	4362.983697202845	4795.920414137724	4388.272344193842
2012	Nord-ovest	53284	52691.8442736819	50989.306986953925	52188.54472347658
2012	Sud	539	623.9203568379003	600.9938891458955	627.6711597804001
2013	Centro	10012	10150.285966573325	9904.278999432468	10256.778141235929
2013	Isole	452	416.97658505110604	415.94620346697576	412.06283314285304
2013	Nord-est	5086	5125.7108730281625	5634.33263082866	5155.420425445025
2013	Nord-ovest	60693	60342.31836694822	58392.58499922385	59765.94336791265
2013	Sud	732	744.302165131087	716.9521686853066	748.7766637116935
2014	Centro	13354	13057.136523077259	12740.677798055669	13194.1260490658
2014	Isole	603	618.3418205078136	616.8138497598386	611.0551324552931
2014	Nord-est	6210	6212.124457339815	6828.55049841713	6248.131060473944
2014	Nord-ovest	74989	75216.29260767608	72785.9631231193	74497.84506120339
2014	Sud	1148	1046.625946658429	1008.1668137118951	1052.917915877577
2015	Centro	15991	14763.651695924771	14405.833089670785	14918.545201411993
2015	Isole	749	699.2540973289985	697.5261860496951	691.0139196348889
2015	Nord-est	6251	6611.241718386017	7267.2719681107565	6649.561677751349
2015	Nord-ovest	79583	80701.27275465449	78093.71692044313	79930.4340254682
2015	Sud	1419	1322.359534756578	1273.7683438801314	1330.3091231610088
2016	Centro	16894	16746.280813581074	16340.410302404798	16921.975160244976
2016	Isole	952	813.313263801909	811.3035034479856	803.7289855827279
2016	Nord-est	6370	6657.68198848331	7318.320483268061	6696.2711241000825
2016	Nord-ovest	84284	84267.63800932819	81544.8485956535	83462.73423547916
2016	Sud	1641	1532.9096850794574	1476.5816554125793	1542.1250313882754
